product_id,product_name,category_id,seller_id,supplier_id,brand,product_description,warranty_period,unit_price,stock_quantity
164,Crestview Fiction Series X,34,6686,298,Crestview,"High quality fiction from Crestview, built for everyday reliability.",12.0,446.65,1568
165,Marlowe Accessories Classic,27,3102,323,Marlowe,"High quality accessories from Marlowe, built for everyday reliability.",6.0,1374.69,169
166,Northgate Children's Books Core,36,3773,127,Northgate,,12.0,1018.54,1186
167,Rosewood Skincare Prime,39,2297,920,Rosewood,"High quality skincare from Rosewood, built for everyday reliability.",12.0,717.93,2585
168,Nordwell Snacks Lite,49,7986,1264,Nordwell,"High quality snacks from Nordwell, built for everyday reliability.",18.0,72.77,2788
169,Northgate Furniture Classic,60,694,174,Northgate,"High quality furniture from Northgate, built for everyday reliability.",18.0,1014.57,1371
170,Lumen Beverages Elite,50,5144,569,Lumen,"High quality beverages from Lumen, built for everyday reliability.",12.0,340.55,1796
171,Ironclad Televisions Essential,15,3486,564,Ironclad,,18.0,647.32,1119
172,Statik Fiction Pro,34,2309,1142,Statik,,36.0,736.23,4845
173,Statik Tablets Studio,16,906,1052,Statik,"High quality tablets from Statik, built for everyday reliability.",,107.22,3053
174,Lumen Car Accessories Edition,54,249,346,Lumen,"High quality car accessories from Lumen, built for everyday reliability.",12.0,1643.51,3103
175,Fenwick Dairy Flex,52,6270,342,,"High quality dairy from Fenwick, built for everyday reliability.",24.0,487.3,4158
176,Alderwood Grooming Air,43,5746,890,Alderwood,"High quality grooming from Alderwood, built for everyday reliability.",24.0,681.66,1112
177,Pinehurst Staples Pro,51,2512,198,Pinehurst,,,873.83,491
178,Lumen Board Games Prime,45,7676,219,,"High quality board games from Lumen, built for everyday reliability.",36.0,1296.16,3072
179,Nordwell Makeup Mini,41,4690,245,Nordwell,"High quality makeup from Nordwell, built for everyday reliability.",18.0,1840.62,2783
180,Alto Action Figures Pro,44,4073,1001,Alto,"High quality action figures from Alto, built for everyday reliability.",24.0,375.27,4650
181,Kestrel Makeup Max,41,4623,1379,,"High quality makeup from Kestrel, built for everyday reliability.",18.0,931.07,2521
182,Northgate Academic Essential,38,7026,600,Northgate,"High quality academic from Northgate, built for everyday reliability.",12.0,619.71,4521
183,Alto Makeup Flex,41,7032,1308,Alto,"High quality makeup from Alto, built for everyday reliability.",24.0,954.62,1694
184,Nordwell Organizers Studio,61,3043,288,Nordwell,"High quality organizers from Nordwell, built for everyday reliability.",6.0,1996.2,3904
185,Halcyon Team Sports Classic,32,6581,1149,Halcyon,,36.0,1781.54,2354
186,Alto Headphones Prime,13,1977,982,Alto,"High quality headphones from Alto, built for everyday reliability.",12.0,1077.43,2875
187,Beacon Board Games Flex,45,6861,192,Beacon,"High quality board games from Beacon, built for everyday reliability.",,1028.2,51
188,Kairo Bakery Plus,53,1042,457,Kairo,"High quality bakery from Kairo, built for everyday reliability.",6.0,1436.49,1158
189,Alderwood Puzzles Essential,46,4560,769,Alderwood,"High quality puzzles from Alderwood, built for everyday reliability.",6.0,923.39,244
190,Trueform Cookware Series X,18,5623,624,Trueform,"High quality cookware from Trueform, built for everyday reliability.",24.0,1841.53,1503
191,Alto Tools Go,56,3582,306,Alto,"High quality tools from Alto, built for everyday reliability.",18.0,166.3,458
192,Alderwood Beverages Edition,50,7455,302,Alderwood,"High quality beverages from Alderwood, built for everyday reliability.",,1951.82,1107
193,Cascadia Lighting Essential,22,7392,557,Cascadia,,24.0,943.19,4624
194,Northgate Cookware Mini,18,7408,1177,Northgate,"High quality cookware from Northgate, built for everyday reliability.",,1938.75,3721
195,Crestview Non-Fiction Neo,35,4299,860,Crestview,"High quality non-fiction from Crestview, built for everyday reliability.",,403.27,54
196,Marlowe Cleaning Supplies One,23,1428,688,Marlowe,"High quality cleaning supplies from Marlowe, built for everyday reliability.",18.0,206.85,3634
197,Verdant Motorbike Accessories Flex,55,7983,751,Verdant,"High quality motorbike accessories from Verdant, built for everyday reliability.",24.0,187.53,1113
198,Vivex Staples Series X,51,5474,950,Vivex,"High quality staples from Vivex, built for everyday reliability.",12.0,280.1,1095
199,Kestrel Furniture Plus,60,6419,1235,Kestrel,"High quality furniture from Kestrel, built for everyday reliability.",6.0,1188.11,1633
200,Vivex Beverages Essential,50,5508,1457,Vivex,"High quality beverages from Vivex, built for everyday reliability.",36.0,842.98,3157
201,Willowmere Stationery Plus,58,4440,280,Willowmere,"High quality stationery from Willowmere, built for everyday reliability.",36.0,1209.37,142
202,Kairo Educational Go,48,722,441,Kairo,"High quality educational from Kairo, built for everyday reliability.",24.0,663.37,1215
203,Statik Academic Mini,38,5446,881,Statik,"High quality academic from Statik, built for everyday reliability.",,1109.98,3544
204,Kairo Academic Essential,38,6897,345,Kairo,"High quality academic from Kairo, built for everyday reliability.",12.0,1648.01,474
205,Beacon Tyres & Wheels Mini,57,5561,675,Beacon,"High quality tyres & wheels from Beacon, built for everyday reliability.",36.0,1796.54,3637
206,Ironclad Cycling One,31,2249,272,Ironclad,"High quality cycling from Ironclad, built for everyday reliability.",36.0,281.02,3885
207,Fenwick Action Figures Max,44,1097,353,Fenwick,"High quality action figures from Fenwick, built for everyday reliability.",12.0,283.89,2837
208,Verdant Cleaning Supplies Max,23,3903,171,Verdant,,12.0,486.25,2748
209,Nordwell Bags Series X,28,5049,115,Nordwell,"High quality bags from Nordwell, built for everyday reliability.",12.0,123.09,3782
210,Brightline Haircare Lite,40,2332,626,Brightline,"High quality haircare from Brightline, built for everyday reliability.",,369.97,3650
211,Ironclad Non-Fiction Plus,35,1020,1102,Ironclad,"High quality non-fiction from Ironclad, built for everyday reliability.",24.0,828.04,3208
212,Alto Outdoor Toys Ultra,47,7294,346,Alto,"High quality outdoor toys from Alto, built for everyday reliability.",12.0,1554.94,4061
213,Northgate Men's Clothing Go,24,3614,723,Northgate,"High quality men's clothing from Northgate, built for everyday reliability.",6.0,1820.86,2897
214,Trueform Makeup Series X,41,3291,516,Trueform,"High quality makeup from Trueform, built for everyday reliability.",6.0,1939.22,4182
215,Crestview Puzzles Series X,46,6047,1224,Crestview,,24.0,1853.16,2543
216,Halcyon Organizers Series X,61,7335,185,Halcyon,"High quality organizers from Halcyon, built for everyday reliability.",12.0,421.68,3784
217,Statik Motorbike Accessories Neo,55,4885,11,Statik,"High quality motorbike accessories from Statik, built for everyday reliability.",24.0,937.98,3847
218,Trueform Team Sports 2.0,32,1237,1014,Trueform,"High quality team sports from Trueform, built for everyday reliability.",18.0,1660.21,1452
219,Alto Cycling Air,31,78,381,Alto,"High quality cycling from Alto, built for everyday reliability.",18.0,1250.29,3933
220,Alderwood Board Games Neo,45,2399,214,Alderwood,"High quality board games from Alderwood, built for everyday reliability.",18.0,1253.03,72
221,Ironclad Headphones Prime,13,3244,952,Ironclad,"High quality headphones from Ironclad, built for everyday reliability.",24.0,1631.41,2167
222,Statik Motorbike Accessories One,55,4268,619,Statik,"High quality motorbike accessories from Statik, built for everyday reliability.",12.0,1232.34,1755
223,Kestrel Action Figures Elite,44,5717,1407,Kestrel,"High quality action figures from Kestrel, built for everyday reliability.",24.0,1278.67,4964
224,Alto Stationery Max,58,1290,920,Alto,"High quality stationery from Alto, built for everyday reliability.",24.0,239.88,803
225,Statik Televisions Pro,15,5683,429,Statik,,24.0,1591.24,2455
226,Alderwood Puzzles Essential,46,6307,1435,Alderwood,"High quality puzzles from Alderwood, built for everyday reliability.",24.0,1966.63,2791
227,Fenwick Lighting Flex,22,5820,337,Fenwick,"High quality lighting from Fenwick, built for everyday reliability.",6.0,875.41,2531
228,Ironclad Non-Fiction Elite,35,3593,251,Ironclad,"High quality non-fiction from Ironclad, built for everyday reliability.",36.0,132.76,2360
229,Halcyon Non-Fiction Prime,35,812,1466,,"High quality non-fiction from Halcyon, built for everyday reliability.",6.0,1052.74,1767
230,Beacon Fitness Equipment Studio,29,3578,1415,,"High quality fitness equipment from Beacon, built for everyday reliability.",6.0,647.65,4331
231,Northgate Men's Clothing Essential,24,1696,886,,"High quality men's clothing from Northgate, built for everyday reliability.",,1981.42,1364
